线路,行别,站区,隧道名称,锚段号,杆号,跨距,公里标,导高,拉出值,结构类型,GPS经度,GPS纬度
西环线,下行,生米-向塘,,,997,55,53.662,6450,300/100,中心柱,,
西环线,下行,生米-向塘,,,999,55,53.717,6450,300,转换柱,,
西环线,下行,生米-向塘,,,1001,55,53.772,6450,300,锚柱,,
西环线,下行,生米-向塘,,,1003,55,53.827,6450,300,,,
西环线,下行,生米-向塘,,,1005,60,53.887,6450,300,,,
西环线,下行,生米-向塘,,,1007,60,53.947,6450,300,,,
西环线,下行,生米-向塘,,,1009,60,54.007,6450,300,,,
西环线,下行,生米-向塘,,,1011,60,54.067,6450,300,,,
西环线,下行,生米-向塘,,,1013,60,54.127,6450,300,,,
西环线,下行,生米-向塘,,,1015,55,54.182,6450,300,,,
西环线,下行,生米-向塘,,,1017,60,54.242,6450,300,,,
西环线,下行,生米-向塘,,,1019,60,54.302,6450,300,,,
西环线,下行,生米-向塘,,,1021,55,54.357,6450,300,,,
西环线,下行,生米-向塘,,,1023,55,54.412,6450,300,,,
西环线,下行,生米-向塘,,,1025,55,54.467,6450,300,,,
西环线,下行,生米-向塘,,,1027,55,54.522,6450,300,吸上线,,
西环线,下行,生米-向塘,,,1029,55,54.577,6450,300,,,
西环线,下行,生米-向塘,,,1031,56,54.633,6450,300,,,
西环线,下行,生米-向塘,,,1033,49.5,54.683,6450,300,,,
西环线,下行,生米-向塘,,,1035,32.7,54.716,6450,300,,,
西环线,下行,生米-向塘,,,1037,50,54.766,6450,300,,,
西环线,下行,生米-向塘,,,1039,50,54.816,6450,300,锚柱,,
西环线,下行,生米-向塘,,,1041,55,54.871,6450,300,转换柱,,
西环线,下行,生米-向塘,,,1043,55,54.926,6450,300/100,中心柱,,
西环线,下行,生米-向塘,,,1045,45,54.971,6450,300,转换柱,,
西环线,下行,生米-向塘,,,1047,45,55.016,6450,300,锚柱,,
西环线,下行,生米-向塘,,,1049,55,55.071,6450,300,,,
西环线,下行,生米-向塘,,,1051,55,55.126,6450,300,,,
西环线,下行,生米-向塘,,,1053,50,55.176,6450,300,,,
西环线,下行,生米-向塘,,,1055,55,55.231,6450,300,,,
西环线,下行,生米-向塘,,,1057,50.65,55.281,6450,300,,,
西环线,下行,生米-向塘,,,1059,50,55.331,6450,300,,,
西环线,下行,生米-向塘,,,1061,55,55.386,6450,300,,,
西环线,下行,生米-向塘,,,1063,60,55.446,6450,300,,,
西环线,下行,生米-向塘,,,1065,60,55.506,6450,300,,,
西环线,下行,生米-向塘,,,1067,60,55.566,6450,300,,,
西环线,下行,生米-向塘,,,1069,60,55.626,6450,300,,,
西环线,下行,生米-向塘,,,1071,55,55.681,6450,300,,,
西环线,下行,生米-向塘,,,1073,50,55.731,6450,300,,,
西环线,下行,生米-向塘,,,1075,50,55.781,6450,300,,,
西环线,下行,生米-向塘,,,1077,45,55.826,6450,300,,,
